names	x.pos	y.pos	peak.zt	trough.zt	CCA1	LHY	TOC1	PRR5	PRR7	PRR9	PHYA	PHYB	CRY2	FHY1	LUX	PIF3	PIF4	PIF5	ELF4	ELF3	indegree	outdegree	transitivity	closeness	betweeness	eccentricity
AT5G12110	-2988.50170898438	3837.80919688463	peak4	trough20	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G13270	-3921.35180664062	3208.44713633776	peak12	trough4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G13200	-3306.0986328125	4076.71715586901	peak8	trough0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	4	0	0.833333333333333	0.00017307026652821	0	4
AT5G12940	-3353.28515625	3905.65074961901	peak12	trough0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G12930	-3670.029296875	4308.49840586901	peak8	trough0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0.00017307026652821	0	3
AT5G13400	-2891.01586914062	1706.88915293932	peak0	trough12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G13770	-3114.47802734375	1493.14452403307	peak0	trough8	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3
AT5G13730	-3879.79565429688	3601.18688243151	peak12	trough0	0	0	0	1	0	1	1	0	0	0	0	0	1	1	0	1	6	0	0.733333333333333	0.00017307026652821	0	3
AT5G13710	-3776.74194335938	1853.28417247057	peak16	trough4	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	6	0	0.933333333333333	0.00017307026652821	0	3
AT5G13640	-2680.58447265625	1936.65416758776	peak0	trough16	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G13750	-3611.09008789062	3528.61046641588	peak12	trough0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G13760	-3310.27563476562	1601.49462168932	peak0	trough8	0	1	0	1	0	0	1	0	1	1	0	0	1	1	0	0	7	0	0.809523809523809	0.00017307026652821	0	3
AT5G13740	-4419.0771484375	2114.28453868151	peak16	trough8	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0.00017307026652821	0	3
AT5G13720	-3639.19409179688	1852.55052989244	peak20	trough4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G13630	-2492.71948242188	2656.11315196276	peak4	trough16	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	4	0	0.5	0.00017307026652821	0	4
