names	x.pos	y.pos	cluster.classification
AT2G29090	-2591.275146484375	4138.568230087756	peak4
AT2G29070	-4204.490234375	3028.0862964940065	peak12
AT2G03090	-2949.0341796875	3769.7049488377565	peak4
AT2G46910	-2451.94580078125	2081.5303882908815	peak0
AT2G47130	-3518.61767578125	3450.2689136815065	peak12
AT2G46870	-3275.068115234375	4128.480827744006	peak8
AT2G47000	-4113.39990234375	3192.1763843846315	peak12
AT2G02950	-3733.33056640625	1907.6119312596315	peak20
AT2G47010	-3457.308349609375	1455.0172046971315	peak20
AT2G46900	-3394.964111328125	1709.9285816502565	peak0
AT2G46830	-2973.844482421875	2545.291664476334	peak0
AT2G46800	-3175.345458984375	1334.7769703221315	peak0
AT2G46735	-2971.169677734375	1288.5626148533815	peak0
AT2G46820	-2506.81201171875	2612.8121265721315	peak4
AT2G46780	-2947.496337890625	1722.2825855565065	peak0
AT2G03120	-3569.972412109375	3446.5364918065065	peak12
AT2G03310	-3468.66357421875	4246.195671494006	peak8
AT2G19860	-3418.710205078125	3922.1634449315065	peak12
AT2G19800	-3185.52099609375	1829.117668564319	peak0
AT2G19670	-3173.34423828125	4072.5042652440065	peak8
AT2G29630	-4042.0556640625	2856.8697437596315	peak12
AT2G29650	-2536.404052734375	3319.3651050877565	peak4
AT2G29690	-3261.422607421875	4076.7137379002565	peak8
AT2G29760	-3782.415771484375	3703.4478687596315	peak12
AT2G25850	-4065.60107421875	2365.1819996190065	peak16
AT2G25735	-3490.691162109375	1717.1597828221315	peak0
AT2G25910	-3574.012451171875	1799.060051376819	peak0
AT2G25900	-2560.351806640625	2139.6758961033815	peak0
AT2G25880	-3785.62841796875	4048.4163746190065	peak8
AT2G25840	-3720.644775390625	2006.6942066502565	peak0
AT2G35520	-3357.593017578125	4336.079460556506	peak8
AT2G35370	-4035.50732421875	2257.7281421971315	peak16
AT2G35480	-3654.36083984375	3602.2696461033815	peak12
AT2G29670	-2455.90087890625	2689.3319019627565	peak4
AT2G29680	-3027.58251953125	4108.565788681506	peak8
AT2G14910	-3261.304443359375	1654.3861011815065	peak0
AT2G14900	-3326.517333984375	1704.891106064319	peak0
AT2G14860	-3187.98291015625	4062.8807300877565	peak4
AT2G46310	-2170.38671875	2422.2977222752565	peak0
AT2G46030	-3207.18408203125	1535.759514267444	peak0
AT2G46060	-3415.42578125	4019.0819019627565	peak8
AT2G46070	-2238.329833984375	3173.3792652440065	peak4
AT2G46110	-4055.843994140625	2687.5870289158815	peak16
AT2G46200	-3827.755615234375	1963.9671558690065	peak16
AT2G46210	-3480.1572265625	1676.702873642444	peak0
AT2G46240	-3671.1640625	4258.227409775256	peak8
AT2G46250	-3331.800048828125	1544.327629501819	peak20
AT2G46220	-2673.595703125	1764.985100204944	peak0
AT2G46090	-3963.330322265625	2546.5736011815065	peak16
AT2G46140	-4188.4775390625	2678.8238453221315	peak12
AT2G46260	-3398.937744140625	1677.536613876819	peak0
AT2G23910	-3742.3271484375	3301.1480640721315	peak12
AT2G24050	-2743.15478515625	3943.0413746190065	peak4
AT2G23900	-2492.531982421875	3371.7630543065065	peak4
AT2G46170	-3131.67138671875	4062.3192066502565	peak8
AT2G46330	-2644.220947265625	1699.020744736194	peak0
AT2G35260	-2688.293212890625	1992.8663257908815	peak0
AT2G35290	-2665.74462890625	1571.1275562596315	peak0
AT2G16940	-3031.293212890625	1532.2269214940065	peak0
AT2G16890	-3684.140380859375	1824.532707626819	peak20
AT2G23980	-3713.81787109375	1719.2247242283815	peak0
AT2G35155	-2922.771240234375	4232.528679306506	peak4
AT2G35170	-3485.00146484375	1807.968254501819	peak0
AT2G47890	-3623.934326171875	4137.131706650256	peak8
AT2G47700	-3486.636962890625	1681.564201767444	peak0
AT2G47680	-4008.169921875	2012.5352711033815	peak16
AT2G47990	-2773.381103515625	3993.2625660252565	peak4
AT2G47940	-3072.0029296875	1752.1502613377565	peak0
AT2G47850	-4107.6806640625	3329.9495777440065	peak12
AT2G07050	-2470.640625	3100.3362964940065	peak4
AT2G35190	-3300.264404296875	4062.2523121190065	peak8
AT2G47910	-3864.21142578125	2027.9490894627565	peak20
AT2G31070	-2704.002685546875	1636.917473251819	peak0
AT2G31160	-3405.26171875	1433.0247730565065	peak0
AT2G31170	-3594.472900390625	3827.9070972752565	peak12
AT2G31110	-3024.256103515625	1705.872307236194	peak0
AT2G31060	-3424.36767578125	3851.9991382908815	peak12
AT2G47960	-3409.1875	1611.309318954944	peak0
AT2G47750	-2443.522705078125	2481.2205738377565	peak4
AT2G47800	-4165.896484375	2143.3531421971315	peak12
AT2G47930	-3345.473876953125	1685.281486923694	peak0
AT2G47710	-3525.018798828125	1591.073723251819	peak0
AT2G22770	-3039.31396484375	1762.0591968846315	peak0
AT2G43080	-3835.372314453125	2333.0462574315065	peak16
AT2G43160	-3263.0205078125	1722.2161793065065	peak0
AT2G07180	-3583.375244140625	1872.5345386815065	peak0
AT2G41330	-3472.194580078125	1559.508293564319	peak0
AT2G38610	-2947.614013671875	1871.9334644627565	peak0
AT2G38760	-3004.9443359375	4050.3782886815065	peak4
AT2G38550	-3948.056396484375	3497.6509937596315	peak12
AT2G38740	-2377.0859375	2840.2440113377565	peak4
AT2G38720	-3578.671142578125	4022.4354175877565	peak8
AT2G38670	-3677.5859375	3951.8973316502565	peak8
AT2G38790	-3439.74755859375	4201.074577744006	peak8
AT2G41280	-2594.537841796875	1703.478508408069	peak0
AT2G41290	-2790.0107421875	1767.711418564319	peak0
AT2G14620	-2615.883056640625	2381.3153004002565	peak0
AT2G41310	-3112.8896484375	1525.399406845569	peak0
AT2G41230	-3190.95947265625	1336.645012314319	peak20
AT2G41250	-2929.5205078125	1710.8372730565065	peak0
AT2G32280	-3933.763671875	3726.0042652440065	peak12
AT2G32290	-3509.56640625	3638.0062183690065	peak12
AT2G01610	-2303.03271484375	3870.8941578221315	peak12
AT2G01490	-3560.776123046875	1757.218742783069	peak0
AT2G01450	-4100.78564453125	1791.767570908069	peak16
AT2G01510	-3698.109375	3776.1822437596315	peak12
AT2G01480	-3261.435302734375	1681.774406845569	peak0
AT2G32390	-3207.4345703125	4163.876335556506	peak8
AT2G01590	-3180.45654296875	1577.8221363377565	peak0
AT2G01600	-2916.49169921875	1513.210930283069	peak0
AT2G46680	-2946.455810546875	3849.0462574315065	peak4
AT2G46650	-3173.533447265625	3909.5858082127565	peak12
AT2G46630	-3680.349609375	1436.0784839940065	peak20
AT2G46710	-2424.3271484375	1894.4842457127565	peak4
AT2G46700	-3225.03466796875	1606.2012867283815	peak0
AT2G46660	-2914.599853515625	3748.6209644627565	peak4
AT2G26980	-3421.60302734375	1659.535637314319	peak0
AT2G27020	-3860.60791015625	3545.2398609471315	peak12
AT2G27060	-3504.3115234375	894.4583668065065	peak16
AT2G27050	-3301.611083984375	1487.287346298694	peak0
AT2G01420	-3571.286376953125	1634.2213062596315	peak16
AT2G29450	-3123.029052734375	3571.4073414158815	peak12
AT2G29570	-3115.974365234375	4054.7093433690065	peak8
AT2G29360	-2541.19189453125	3332.4842457127565	peak4
AT2G29390	-3299.32861328125	3972.1873707127565	peak12
AT2G29290	-2721.24462890625	1642.577141220569	peak0
AT2G29300	-2477.1904296875	2476.3358082127565	peak4
AT2G29310	-3194.8505859375	4236.393425400256	peak8
AT2G29560	-3385.666748046875	4279.760612900256	peak8
AT2G29340	-3186.096435546875	1317.955559189319	peak0
AT2G27830	-3345.196533203125	1826.606682236194	peak0
AT2G27820	-3550.82080078125	3342.1790699315065	peak12
AT2G27810	-3185.792236328125	4285.688347275256	peak8
AT2G27840	-3029.460693359375	4056.2259449315065	peak8
AT2G27700	-2758.37109375	4171.018425400256	peak8
AT2G29540	-3273.19482421875	4062.3206714940065	peak8
AT2G02360	-3619.447509765625	3901.1204761815065	peak12
AT2G02350	-3056.503662109375	4160.023796494006	peak4
AT2G28840	-4142.5654296875	3573.3592457127565	peak8
AT2G28910	-3263.978515625	1691.208000595569	peak0
AT2G28740	-3456.404296875	3972.9041675877565	peak8
AT2G28900	-3972.62451171875	3646.6214527440065	peak12
AT2G28800	-2502.2080078125	2216.4896168065065	peak4
AT2G06850	-3468.070068359375	1585.783440048694	peak0
AT2G02400	-3691.142822265625	2223.4525074315065	peak0
AT2G38840	-2571.04931640625	1992.0574879002565	peak0
AT2G39020	-3098.6015625	4088.2352222752565	peak8
AT2G39000	-3238.748046875	1733.1531910252565	peak0
AT2G02370	-3579.39013671875	4425.296745712756	peak8
AT2G02410	-3608.47412109375	2162.3060230565065	peak20
AT2G39010	-2733.888427734375	2194.6072925877565	peak0
AT2G39050	-3261.402587890625	3780.3448414158815	peak12
AT2G38870	-3680.351318359375	1696.173820908069	peak20
AT2G38860	-3436.71484375	3676.3426441502565	peak12
AT2G28080	-4012.98095703125	2888.6583179783815	peak16
AT2G28130	-3005.857421875	1715.3321461033815	peak0
AT2G28070	-4165.48046875	2216.5740894627565	peak16
AT2G28110	-2871.054443359375	1775.166252548694	peak0
AT2G28120	-3159.8447265625	1811.339836533069	peak0
AT2G28085	-4027.3349609375	2499.9329761815065	peak16
AT2G28060	-3827.23974609375	1886.5850757908815	peak16
AT2G45160	-3460.955810546875	1564.5035328221315	peak0
AT2G45050	-2885.275146484375	1874.0831226658815	peak0
AT2G45180	-2948.23876953125	1238.9998707127565	peak16
AT2G02070	-3791.20166015625	4120.457878525256	peak8
AT2G02100	-4115.16748046875	3319.0079273533815	peak8
AT2G02180	-3310.328125	1747.0662769627565	peak0
AT2G02080	-2386.70263671875	1805.679680283069	peak4
AT2G37900	-3054.403564453125	1496.801262314319	peak0
AT2G45170	-3378.34375	1708.643303329944	peak0
AT2G45070	-3667.7734375	3456.6370777440065	peak12
AT2G37940	-4114.720703125	3142.9527515721315	peak16
AT2G37970	-3053.803955078125	1412.489006454944	peak0
AT2G37975	-3396.176513671875	4037.6971363377565	peak12
AT2G37990	-3223.6943359375	4025.2684254002565	peak8
AT2G38000	-3474.2265625	4181.216667587756	peak8
AT2G38010	-3468.408447265625	3961.7947925877565	peak12
AT2G37790	-3136.4169921875	3889.5130543065065	peak4
AT2G37860	-2990.218994140625	3884.1685718846315	peak4
AT2G40670	-3696.40625	1724.760979111194	peak20
AT2G18700	-2562.188720703125	1886.2056812596315	peak0
AT2G18730	-4558.04296875	2619.8702320408815	peak12
AT2G18630	-2019.201416015625	2842.6658863377565	peak8
AT2G40765	-4093.513671875	2895.8436207127565	peak16
AT2G40660	-3478.694580078125	3986.9896168065065	peak8
AT2G40810	-2494.808837890625	1794.052971298694	peak0
AT2G40760	-3511.256591796875	1796.108879501819	peak0
AT2G05940	-3075.587890625	3737.0394214940065	peak12
AT2G05910	-2772.64599609375	1537.4464039158815	peak0
AT2G18670	-4141.0888671875	4084.1619800877565	peak8
AT2G24190	-2867.114013671875	1335.3878101658815	peak0
AT2G37390	-3291.533447265625	3701.4808277440065	peak12
AT2G37380	-3367.632080078125	3846.1929859471315	peak12
AT2G24150	-2772.242919921875	1751.6238941502565	peak0
AT2G24180	-3625.891845703125	3291.7069019627565	peak12
AT2G24100	-3011.808837890625	1617.0970386815065	peak0
AT2G24270	-2790.9248046875	1612.4346851658815	peak0
AT2G24170	-3694.8916015625	3861.7271656346315	peak12
AT2G24120	-3410.3017578125	4110.414421494006	peak8
AT2G24280	-4054.365966796875	1610.5135425877565	peak20
AT2G37220	-3981.5478515625	3553.9649586033815	peak12
AT2G37460	-2517.482666015625	1811.244865829944	peak4
AT2G37470	-3485.081298828125	4023.4378589940065	peak8
AT2G37240	-2333.9111328125	2532.0880054783815	peak4
AT2G19470	-4073.87353515625	3379.5699390721315	peak16
AT2G19480	-4029.9150390625	2437.9927906346315	peak16
AT2G19650	-3245.55419921875	1442.828606064319	peak0
AT2G19560	-3141.80029296875	1321.101311142444	peak0
AT2G15090	-3639.799072265625	4220.401726181506	peak8
AT2G15080	-2912.62060546875	1808.571281845569	peak0
AT2G25610	-3754.916015625	3590.9737476658815	peak12
AT2G25720	-3794.46044921875	3506.8931812596315	peak12
AT2G25580	-2680.763916015625	3570.3504566502565	peak4
AT2G25730	-4138.64599609375	3221.1058277440065	peak12
AT2G25680	-2739.44287109375	1575.994133408069	peak0
AT2G15050	-3040.50244140625	3907.8494800877565	peak12
AT2G15020	-2744.03466796875	1734.404045517444	peak0
AT2G42310	-3790.498779296875	2418.2076343846315	peak20
AT2G42490	-3268.537353515625	1438.1138843846315	peak0
AT2G42450	-3648.443359375	3863.5289234471315	peak12
AT2G42290	-3856.03271484375	1175.2115406346315	peak16
AT2G01670	-4127.6689453125	2391.0057300877565	peak12
AT2G01680	-3835.930419921875	3200.5076832127565	peak12
AT2G01660	-3750.72021484375	1905.4593433690065	peak0
AT2G01650	-3791.7470703125	3389.5628589940065	peak12
AT2G01720	-3908.56591796875	3502.5723804783815	peak16
AT2G42390	-3790.1806640625	3849.2847828221315	peak8
AT2G35740	-2529.0703125	3276.9132007908815	peak4
AT2G35750	-2704.83935546875	3760.6988453221315	peak4
AT2G35690	-3049.777099609375	1663.1473316502565	peak0
AT2G35700	-2850.080322265625	3756.1514820408815	peak4
AT2G35710	-3530.372314453125	1202.707756454944	peak20
AT2G14560	-3697.32666015625	3701.2769703221315	peak12
AT2G14520	-3465.298828125	3959.4500660252565	peak12
AT2G35760	-2669.648193359375	1358.2186207127565	peak4
AT2G17980	-3156.01318359375	4227.585319931506	peak4
AT2G18040	-3713.62890625	3576.4547046971315	peak12
AT2G18090	-3373.970947265625	1681.472893173694	peak0
AT2G18030	-3630.03759765625	1769.641106064319	peak0
AT2G35680	-3175.922607421875	1567.679436142444	peak0
AT2G07360	-3360.65283203125	1812.745109970569	peak0
AT2G48010	-3220.806396484375	1592.1693043065065	peak0
AT2G48030	-4298.6376953125	3290.0499195408815	peak16
AT2G48020	-2925.88037109375	1716.3939136815065	peak0
AT2G48060	-3671.952392578125	4119.426140244006	peak8
AT2G13100	-3577.57763671875	4351.545280869006	peak8
AT2G01320	-3807.677001953125	1841.138420517444	peak20
AT2G01150	-3925.0341796875	3077.6539234471315	peak12
AT2G01140	-3427.177490234375	1513.437492783069	peak0
AT2G01260	-3087.35888671875	1375.078117783069	peak0
AT2G32220	-3106.93408203125	3946.1819996190065	peak12
AT2G32010	-2911.71533203125	1656.117180283069	peak0
AT2G32100	-2375.939208984375	2120.7191089940065	peak4
AT2G40100	-4157.25048828125	1766.1470875096315	peak16
AT2G40090	-3611.0302734375	1744.407463486194	peak20
AT2G40110	-3718.770263671875	1882.2132496190065	peak20
AT2G03340	-3925.93115234375	4108.496452744006	peak8
AT2G03390	-3271.87060546875	1474.387199814319	peak20
AT2G03420	-3767.84130859375	3667.6741871190065	peak12
AT2G03450	-3484.878662109375	4388.747917587756	peak8
AT2G32160	-3139.93310546875	3787.3965992283815	peak4
AT2G24490	-3256.4345703125	3985.4017261815065	peak8
AT2G32150	-2548.8173828125	2714.3707203221315	peak4
AT2G32080	-3135.234375	1710.591545517444	peak0
AT2G27420	-2349.298095703125	2804.5867847752565	peak4
AT2G24420	-2569.96337890625	1811.498283798694	peak20
AT2G24290	-3621.78955078125	2119.2215504002565	peak0
AT2G24360	-4141.55419921875	2985.1246265721315	peak12
AT2G25440	-2558.266845703125	4211.740593369006	peak8
AT2G27500	-3222.283935546875	1759.207756454944	peak0
AT2G27360	-2713.636474609375	1883.1568531346315	peak0
AT2G27490	-3298.719970703125	1445.7330250096315	peak0
AT2G25530	-3019.276611328125	1524.6341480565065	peak0
