genes troughs peaks
AT5G14760 ZT8 ZT0
AT5G14850 ZT0 ZT16
AT5G14930 ZT0 ZT16
AT5G35330 ZT4 ZT0
AT5G35320 ZT8 ZT0
AT5G36290 ZT4 ZT16
AT1G48920 ZT0 ZT8
unknown_192 ZT12 ZT0
AT1G50740 ZT4 ZT12
AT1G29720 ZT8 ZT0
AT5G34850 ZT8 ZT0
AT5G35170 ZT12 ZT8
AT5G35190 ZT0 ZT16
AT5G30510 ZT4 ZT16
AT5G33290 ZT0 ZT16
AT5G33300 ZT0 ZT8
unknown_228 ZT16 ZT8
AT5G27990 ZT20 ZT4
AT5G28030 ZT16 ZT4
AT5G28020 ZT12 ZT0
AT5G28050 ZT8 ZT0
unknown_231 ZT12 ZT0
unknown_234 ZT4 ZT16
AT5G28220 ZT0 ZT12
unknown_238 ZT0 ZT8
AT5G28950 ZT0 ZT12
AT5G29000 ZT8 ZT20
AT5G28010 ZT4 ZT20
AT5G27650 ZT4 ZT20
AT5G27670 ZT0 ZT12
AT5G27710 ZT4 ZT20
AT5G27720 ZT0 ZT12
AT5G27760 ZT8 ZT16
AT5G27820 ZT0 ZT12
unknown_245 ZT0 ZT8
AT5G27930 ZT0 ZT8
AT5G27620 ZT20 ZT4
AT5G27150 ZT8 ZT16
AT5G27330 ZT20 ZT8
AT5G27395 ZT0 ZT12
unknown_249 ZT4 ZT0
AT5G27490 ZT0 ZT12
AT5G27530 ZT20 ZT4
AT5G27540 ZT0 ZT12
AT5G27520 ZT4 ZT12
AT5G27470 ZT0 ZT4
AT5G27350 ZT12 ZT0
AT5G27360 ZT12 ZT0
AT5G27430 ZT4 ZT16
AT5G27380 ZT4 ZT16
AT5G27280 ZT0 ZT8
AT5G27020 ZT0 ZT16
AT5G26770 ZT4 ZT16
unknown_254 ZT20 ZT4
AT5G26920 ZT4 ZT16
AT5G26570 ZT4 ZT12
AT5G26340 ZT0 ZT8
unknown_260 ZT16 ZT4
AT5G26731 ZT4 ZT12
AT5G26740 ZT4 ZT0
AT5G26760 ZT12 ZT0
AT5G26820 ZT12 ZT20
AT5G26860 ZT0 ZT12
AT5G26880 ZT8 ZT12
AT5G26200 ZT12 ZT0
AT5G26280 ZT12 ZT0
AT5G26210 ZT8 ZT0
AT5G25930 ZT4 ZT16
AT5G25940 ZT4 ZT16
AT5G25900 ZT12 ZT4
AT5G26040 ZT0 ZT8
AT5G26180 ZT20 ZT4
AT5G26220 ZT0 ZT16
AT5G26230 ZT0 ZT12
AT5G25500 ZT4 ZT12
AT5G25540 ZT0 ZT12
AT5G25630 ZT8 ZT20
AT5G25475 ZT4 ZT0
AT5G25610 ZT16 ZT4
AT5G25280 ZT4 ZT0
AT5G25460 ZT12 ZT0
AT5G25090 ZT20 ZT12
AT5G25110 ZT0 ZT8
AT5G25240 ZT12 ZT0
AT5G25210 ZT4 ZT16
AT5G25170 ZT8 ZT16
AT5G25190 ZT12 ZT0
AT5G25350 ZT12 ZT0
AT5G25360 ZT4 ZT12
AT5G25390 ZT20 ZT8
AT5G25440 ZT4 ZT16
